SIRA_NO,PROJE_ADI,SOZLESME_BEDELI_NOMINAL_TL,SOZLESME_TARIHI_KAYNAK,GUNCEL_SOZLESME_BEDELI_TL_TEMMUZ_2026,FIYAT_GUNCELLEME_KATSAYISI
1,GELİBOLU DGBH,16757683.1,2023-02-16,43519939.09,2.5970140878245873
2,DERİK DGBH,37786679.91,2023-04-18,96913215.12,2.5647454433897634
3,HOPA İLÇESİ DGBH,157880000.0,2023-02-09,410016584.16,2.597014087661515
4,BATI KARADENİZ FAZ-2 BORU HATTI,515000000.0,2023-02-22,1337462255.15,2.597014087669903
5,BATI KARADENİZ FAZ-3 BORU HATTI,509999999.0,2023-02-22,1324477182.11,2.5970140876608117
6,ADİLCEVAZ DGBH,60952312.0,2024-01-19,111490330.19,1.8291402988946506
7,TAŞKÖPRÜ BOYABAT,154407329.29,2024-02-22,272258372.91,1.7632477302852523
8,DURSUNBEY,128932325.58,2024-03-18,220087775.86,1.707002296514382
9,KORKUTELİ,936924841.0,2024-06-13,1493517237.68,1.5940630158614826
10,ORDU FATSA,234665963.84,2024-08-06,360887369.8,1.5378769204300131
11,EŞME,166946000.0,2024-06-04,266122444.25,1.5940630158853761
12,TİREBOLU,52966687.0,2025-01-03,76165100.86,1.4379812137391188
13,GÖRELE,68993134.0,2025-01-03,99210830.57,1.4379812137538206
14,AYANCIK,178999588.46,2025-03-11,247404673.52,1.3821521917928101
15,A.KARAHİSAR MERKEZ 2,102999883.23,2025-05-09,135181001.59,1.3124383965381705
16,DİDİM,216129000.0,2025-10-24,254887344.44,1.1793296801447284
17,DİNAR,37724745.0,2026-01-05,42656780.65,1.1307374151899503
18,KULUNCAK ELAZIĞ,980938578.1,2026-02-25,1082890848.4,1.1039333884670675
19,HİZAN,194600000.0,2026-03-04,209998987.83,1.0791314893627955
20,MUT MERSİN,2877000000.0,2026-03-01,3104661294.84,1.0791314893430657
21,AHMETLİ SARIGÖL,112000000.0,güncel,112000000.0,1.0
22,DÖRTYOL ERZİN,152820000.0,2026-01-06,172799291.81,1.1307374153252192
23,MAGA FAZ 2 DGBH,2999999999.0,2024-01-01,5487420894.93,1.8291402989197136
24,CİHANBEYLİ DGBH,189320000.0,2024-07-05,296040160.86,1.5637025188041411
25,ŞARKİKARAAĞAÇ DGBH,179320000.0,2024-07-12,280403135.67,1.563702518793219
26,ŞEBİNKARAHİSAR DGBH,265000000.0,2024-08-14,407537383.92,1.5378769204528302
27,BİSMİL BİNGÖL DGBH,37853000.0,2020-03-19,448440418.1,11.84689240218741
28,Bulanık Malazgirt Patnos DGBH,37337000.0,2020-09-14,402450719.7,10.778871352813562
29,KOZLUK DGBH,14516169.4,2020-12-02,141836311.82,9.770918753538382
30,DEMİRCİ DGBH,10883974.1,2021-03-16,98277013.43,9.029515554433377
31,MUT DGBH,30099646.2,güncel,30099646.2,1.0
32,AYVALIK DGBH,23979062.87,2022-01-04,117927979.03,4.917956121527113
33,MAGA FAZ 1 DGBH,842000000.0,2023-04-17,2159515663.25,2.564745443289786
34,ERCİŞ PATNOS DGBH,248000000.0,2025-11-27,290044708.62,1.1695351154032259
35,POZANTI DGBH,379034845.2,2026-01-02,428588881.17,1.1307374152997796
36,EĞİRDİR DGBH,102000000.0,2026-03-10,110071411.91,1.0791314893137254
37,GEVAŞ DGBH,206665000.0,2025-11-11,241701974.63,1.1695351154283502
38,Malatya Branşman-2 DGBH,166885000.0,2025-11-21,195177867.74,1.1695351154387752
39,K.Maraş Branşman-2 DGBH,110562894.3,2025-11-07,129307187.35,1.1695351154532865
40,MİLAS DGBH,31700000.53,2022-07-25,101262152.99,3.194389630819353
41,ÇİVRİL DGBH,7973069.92,2021-03-10,71992958.86,9.029515554530594
