SIRA_NO,PROJE_ADI,SOZLESME_BEDELI_NOMINAL_TL,SOZLESME_TARIHI_KAYNAK,FIYAT_GUNCELLEME_KATSAYISI,BORU_CAPI,HAT_UZUNLUGU_KM,HAT_VANASI_SAYISI,PIG_ISTASYONU_SAYISI,GUNCEL_SOZLESME_BEDELI_TL_TEMMUZ_2026,DEGERLENDIRME_KUMESI,CDR_DEGERLENDIRME_TAHMIN,CDR_TAM_TAHMIN,CDR_DEGERLENDIRME_HATA,ER_DEGERLENDIRME_TAHMIN,ER_TAM_TAHMIN,ER_DEGERLENDIRME_HATA,KNN_DEGERLENDIRME_TAHMIN,KNN_TAM_TAHMIN,KNN_DEGERLENDIRME_HATA,RF_DEGERLENDIRME_TAHMIN,RF_TAM_TAHMIN,RF_DEGERLENDIRME_HATA,XGB_DEGERLENDIRME_TAHMIN,XGB_TAM_TAHMIN,XGB_DEGERLENDIRME_HATA,CAT_DEGERLENDIRME_TAHMIN,CAT_TAM_TAHMIN,CAT_DEGERLENDIRME_HATA,HGB_DEGERLENDIRME_TAHMIN,HGB_TAM_TAHMIN,HGB_DEGERLENDIRME_HATA,STACK_DEGERLENDIRME_TAHMIN,STACK_TAM_TAHMIN,STACK_DEGERLENDIRME_HATA,RF_ALT90_YAKLASIK,RF_UST90_YAKLASIK
1,GELİBOLU DGBH,16757683.1,2023-02-16,2.5970140878245873,8.0,12.9,0.0,2.0,43519939.09,%5 sabit test,0.0,0.0,-43519939.09,0.0,0.0,-43519939.09,85287251.47800002,72965290.17333333,41767312.38800001,79398582.7648668,64281164.33122239,35878643.674866796,127862632.0,113070024.0,84342692.91,109040218.0028767,97896219.33283287,65520278.912876695,58242389.98040104,55020930.162462495,14722450.890401036,63622169.65707213,53946925.51726246,20102230.567072123,0.0,487779990.6193651
2,DERİK DGBH,37786679.91,2023-04-18,2.5647454433897634,8.0,26.78,0.0,2.0,96913215.12,Nested CV eğitim OOF,0.0,30791370.88389522,-96913215.12,97717436.15133911,15970972.614150345,804221.031339109,115434735.9575,116746619.04333334,18521520.83749999,120459121.2997665,100627893.40355374,23545906.17976649,96885456.0,113070024.0,-27759.12000000477,107791808.61996049,96489227.8301248,10878593.499960482,131918601.57603474,98468934.86887257,35005386.456034735,135250128.75663626,104188117.8301034,38336913.63663626,0.0,528840529.15426475
3,HOPA İLÇESİ DGBH,157880000.0,2023-02-09,2.597014087661515,14.0,54.35,0.0,2.0,410016584.16,Nested CV eğitim OOF,399205737.7285398,689359781.8332281,-10810846.431460202,342014441.8042965,385513897.9879855,-68002142.35570353,196339883.72464636,291634305.4766667,-213676700.43535367,241869537.0921337,315563766.32400686,-168147047.06786633,228062144.0,272951360.0,-181954440.16000003,219757251.17808047,225860908.24548143,-190259332.98191956,263211013.58813035,374703457.49342096,-146805570.57186967,313889246.9180242,407558522.913641,-96127337.24197584,0.0,650250944.9466319
4,BATI KARADENİZ FAZ-2 BORU HATTI,515000000.0,2023-02-22,2.597014087669903,48.0,89.22,2.0,2.0,1337462255.15,Nested CV eğitim OOF,1630794727.7443419,2002442446.3851447,293332472.59434175,1373532783.778728,1827139387.1134374,36070528.62872791,1078542462.6152616,2716453444.0633335,-258919792.53473854,1156274781.3786585,1683980224.6951494,-181187473.77134156,1050074304.0,1333131904.0,-287387951.1500001,910953025.5544778,1195341791.6588187,-426509229.5955223,1003957048.3174587,1435517340.291003,-333505206.83254135,1312211145.3569996,1579832623.7678847,-25251109.79300046,747893373.5241603,1564656189.2331567
5,BATI KARADENİZ FAZ-3 BORU HATTI,509999999.0,2023-02-22,2.5970140876608117,48.0,86.15,2.0,1.0,1324477182.11,Nested CV eğitim OOF,1582783007.3474102,2043533364.715341,258305825.2374103,1354812405.1558933,1810634568.0615394,30335223.04589343,518549012.90000546,2716453444.0633335,-805928169.2099944,1154671440.0784419,1728699381.2393064,-169805742.03155804,1050074304.0,1465149056.0,-274402878.1099999,870842377.5554135,1190674310.3239963,-453634804.5545864,999472351.2702552,1704501609.5041277,-325004830.8397447,1299907560.2946768,1786268436.2511907,-24569621.815323114,746290032.2239436,1563052847.93294
6,ADİLCEVAZ DGBH,60952312.0,2024-01-19,1.8291402988946506,8.0,26.87,0.0,2.0,111490330.19,Nested CV eğitim OOF,0.0,32183808.491849124,-111490330.19,97999229.59860772,16454827.244336247,-13491100.591392279,115434735.9575,116746619.04333334,3944405.767499998,120459121.2997665,103404930.39709997,8968791.109766498,96885456.0,113070024.0,-14604874.189999998,107791808.61996049,96489227.8301248,-3698521.5700395107,131918601.57603474,110336342.7992783,20428271.386034742,135378487.93117338,113218548.14173889,23888157.741173387,0.0,528840529.15426475
7,TAŞKÖPRÜ BOYABAT,154407329.29,2024-02-22,1.7632477302852523,8.0,64.06,1.0,2.0,272258372.91,Nested CV eğitim OOF,243599907.6876577,336979850.74962586,-28658465.222342312,256715108.166083,216394312.76228052,-15543264.743917018,178891847.79116052,274390215.26666665,-93366525.1188395,295510513.3064858,274954232.89869094,23252140.396485746,258532688.0,277972768.0,-13725684.910000026,232554707.60329992,214475777.81421852,-39703665.30670011,292342432.61719394,293421197.97356397,20084059.70719391,335186148.65240175,315867023.3089391,62927775.74240172,0.0,703891921.160984
8,DURSUNBEY,128932325.58,2024-03-18,1.707002296514382,16.0,36.0,1.0,2.0,220087775.86,Nested CV eğitim OOF,15256909.345537543,212206557.04241735,-204830866.51446247,418033369.64251816,360635356.27570057,197945593.78251815,160239593.02,197634366.4433333,-59848182.84,123927491.44376625,165427169.46231252,-96160284.41623376,146475328.0,156318784.0,-73612447.86000001,156012031.42445707,190059192.71308511,-64075744.43554294,118727076.70400721,176459350.13181353,-101360699.1559928,131716114.40489608,217344426.07528555,-88371661.45510393,0.0,532308899.2982645
9,KORKUTELİ,936924841.0,2024-06-13,1.5940630158614826,20.0,183.53,5.0,2.0,1493517237.68,Nested CV eğitim OOF,2004551802.3708153,1567039650.1289127,511034564.6908152,1085118174.9139373,1301328700.8417435,-408399062.76606274,653790739.6466666,1008282834.7266666,-839726498.0333334,1318723877.2300363,1557314519.0101938,-174793360.4499638,1360022272.0,1356509696.0,-133494965.68000007,1092238916.5990653,1153627642.3501754,-401278321.08093476,1120697460.5761578,1337463267.6873536,-372819777.10384226,1213853046.7992835,1386559711.571183,-279664190.88071656,910342469.375538,1727105285.0845346
10,ORDU FATSA,234665963.84,2024-08-06,1.5378769204300131,12.0,62.64,1.0,2.0,360887369.8,Nested CV eğitim OOF,357226171.76737654,469689184.2993335,-3661198.03262347,344395764.8936411,356308244.37059796,-16491604.906358898,273970868.8009637,288975506.16333336,-86916500.99903631,291352350.702662,331153201.8441897,-69535019.09733802,260434960.0,291639904.0,-100452409.80000001,244701184.34534234,234069484.59335828,-116186185.45465767,275136725.47048044,351297584.7407736,-85750644.32951957,326692829.40388656,383285056.4555603,-34194540.396113455,0.0,699733758.5571603
